name,tags,time,host,unit,value
CO2,,1600763956815,13318,kilograms,179516.765625
CO2,,1600763966832,13318,kilograms,179517.0625
CO2,,1600763976308,13318,kilograms,179517.359375
CO2,,1600763986294,13318,kilograms,179517.6875
CO2,,1600763997334,13318,kilograms,179517.984375
CO2,,1600764006741,13318,kilograms,179518.28125
CO2,,1600764016822,13318,kilograms,179518.59375
CO2,,1600764026856,13318,kilograms,179518.875
CO2,,1600764037315,13318,kilograms,179519.203125
CO2,,1600764047293,13318,kilograms,179519.515625
CO2,,1600764056804,13318,kilograms,179519.8125
CO2,,1600764067276,13318,kilograms,179520.125
CO2,,1600764077351,13318,kilograms,179520.4375
CO2,,1600764087322,13318,kilograms,179520.765625
CO2,,1600764096856,13318,kilograms,179521.0625
CO2,,1600764107293,13318,kilograms,179521.359375
CO2,,1600764117325,13318,kilograms,179521.6875
CO2,,1600764127313,13318,kilograms,179521.953125
CO2,,1600764137345,13318,kilograms,179522.28125
CO2,,1600764147385,13318,kilograms,179522.578125
